model_name,total_params,use_archer,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,4,64,-1,no_pad_fill,3.3871763059713484,3.765967471503475,34.69809240116021,30.717206274765218,0.21321153846153848,63.0,0.076866147108376,0.026899152849283438,780.57764,2342.0811931509675
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,8,64,-1,no_pad_fill,3.33911907682599,3.727729347076905,34.18290460376835,30.117322509114558,0.20502876624760286,63.0,0.0749139790423214,0.03325835665658347,800.9186,1894.2607613034058
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,1,128,-1,no_pad_fill,3.6193548408793887,2.9413413393235444,32.577138042978824,29.955950766375807,0.2266811742618195,64.0,0.0778482011519372,0.01974974656695844,770.7307,3240.547911995628
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,2,128,-1,no_pad_fill,3.743856839587776,4.104317802831985,34.09074021006574,30.653789317381147,0.23665192048189418,64.0,0.0776086179539561,0.02277024033336107,773.11005,2810.686187893788
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,4,128,-1,no_pad_fill,3.890142219433748,4.457803959541521,35.83242002193473,32.13574869439923,0.24426921424419334,72.0,0.0599470629822462,0.027774705008293148,1000.8831,2592.2867579872327
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,8,128,-1,no_pad_fill,3.890142219433748,4.457803959541521,35.83242002193473,32.13574869439923,0.24426921424419334,71.0,0.068858295911923,0.0327247784103024,871.3547,2169.609801777842
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,1,256,-1,no_pad_fill,3.6193548408793887,2.9413413393235444,32.577138042978824,29.955950766375807,0.2266811742618195,64.0,0.0705363319721072,0.02058718669650256,850.6255,3108.7297620355575
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,2,256,-1,no_pad_fill,3.743856839587776,4.104317802831985,34.09074021006574,30.653789317381147,0.23665192048189418,64.0,0.07186892000027,0.022765527346816146,834.8533,2811.26806442947
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,4,256,-1,no_pad_fill,3.890142219433748,4.457803959541521,35.83242002193473,32.13574869439923,0.24426921424419334,72.0,0.0771816701162606,0.02732461468818092,777.38666,2634.9868359220864
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,8,256,-1,no_pad_fill,3.890142219433748,4.457803959541521,35.83242002193473,32.13574869439923,0.24426921424419334,71.0,0.0783890758175402,0.03397841872137086,765.4127,2089.5616297571923
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,1,20,-1,no_pad_fill,2.838825406150898,3.128928010443328,20.04649441255659,18.418086848651345,0.16838613304815558,18.921765295887663,0.08938152976770648,0.05749731883023689,382797.22,328102.2556147298
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,2,20,-1,no_pad_fill,3.456799920371478,3.7407068322471604,21.401224845597262,19.750221823925944,0.1828386258695864,18.9037111334002,0.08366643112094604,0.06150632035324198,408945.38,306423.7933883583
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,4,20,-1,no_pad_fill,3.7108026616148266,4.047679022018727,21.907988788825083,20.252488940093638,0.18929088741877745,18.9197592778335,0.08186894985556131,0.06557370555789303,417924.03,287661.0348540762
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,8,20,-1,no_pad_fill,3.7274156978687834,4.140567331673407,21.981959641468535,20.338351369117955,0.18817264392704747,18.925777331995988,0.0816839603212429,0.06874083495992966,418870.47,274494.7746270335
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,2,32,-1,no_pad_fill,7.58047588335807,8.630560678464148,30.330509606530264,28.113030524256626,0.2700970057666706,29.536609829488466,0.08238541478931434,0.06269018560898629,415304.1,469738.5996537677
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,4,32,-1,no_pad_fill,7.954210386798351,9.288707463983277,30.83502172197583,28.64379315999003,0.27729548361209916,29.52457372116349,0.08175931072037197,0.0664088335411619,418484.44,443254.28456373676
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,8,32,-1,no_pad_fill,8.06971711658376,9.51191188320086,31.094867601286815,28.87898780596449,0.27814289979542817,29.586760280842526,0.081416807937785,0.06995114356780706,420244.94,421694.3211429581
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,1,64,-1,no_pad_fill,9.89153785075415,11.51777355429551,36.01664670249429,33.47489029460878,0.3247227184849895,41.83751253761284,0.08261228276387551,0.05291631028296481,414163.6,788263.576522043
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,2,64,-1,no_pad_fill,11.118066156571581,12.9360778213469,37.92136992419014,35.28976678507758,0.3432464991145439,41.04914744232698,0.08198939073918149,0.05886316609906535,417310.1,695273.5082432108
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,4,64,-1,no_pad_fill,11.599156959347118,13.894290705581467,38.96913100786371,36.23351798773839,0.35049472627339645,41.409227683049146,0.08156751238857392,0.06470841414973971,419468.47,638015.9449505851
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,8,64,-1,no_pad_fill,11.811318182747396,14.193316627528052,39.30281531945967,36.5176776158223,0.3501837610347055,41.6950852557673,0.08138526930270014,0.0723050177300123,420407.78,574925.5211474095
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,1,128,-1,no_pad_fill,10.197941262634274,11.867893028635189,36.48812061849095,33.92878071122066,0.32911479898315665,44.57271815446339,0.08163451337895816,0.042875274889583474,419124.2,1036471.4888579393
google/switch_16_finetuned,630,True,flores200,997,997,en,fr,32,2,128,-1,no_pad_fill,11.452300127827687,13.336050044371364,38.54214015777808,35.88240924985351,0.3481396433026406,42.93480441323972,0.08163546137075169,0.05087282896786923,419119.3,841431.4845167317
